name,code,year,solar_consume,wind_consume,hydro_consume
Australia,AUS,2020,58.82271083,55.77391889,35.85871444
China,CHN,2020,644.1650794,1150.911565,3261.555353
Norway,NOR,2020,0.333093333,24.40093194,347.7955908
United Kingdom,GBR,2020,31.58151861,186.5385233,15.98397833
United States,USA,2020,330.521835,841.0881575,712.19936
World,OWID_WRL,2020,2111.175652,3925.714969,10600.72704
Australia,AUS,2010,2.549083056,12.99769944,35.8407975
China,CHN,2010,1.827760833,128.8026903,1854.833341
Norway,NOR,2010,0.021111111,2.291871111,304.4095092
United Kingdom,GBR,2010,0.105016944,26.81839833,9.364016667
United States,USA,2010,7.856076667,249.2855211,670.8082247
World,OWID_WRL,2010,87.7950025,903.3597197,8958.295753
Australia,AUS,2000,0.129861111,0.372222222,45.74027778
China,CHN,2000,0.061111111,1.638608333,617.8055556
Norway,NOR,2000,0.014722222,0.083886111,393.9388889
United Kingdom,GBR,2000,0.002777778,2.627777778,14.12707056
United States,USA,2000,1.440313056,15.69377389,757.6704181
World,OWID_WRL,2000,3.108251111,87.278985,7366.562608
Australia,AUS,1990,0,0,40.99861111
China,CHN,1990,0.005555556,0.005611111,352.0665906
Norway,NOR,1990,0,0,336.5138889
United Kingdom,GBR,1990,0,0.025,14.21444444
United States,USA,1990,1.029985833,7.824354722,811.8914281
World,OWID_WRL,1990,1.078596944,10.09019583,5996.961822
Australia,AUS,1980,0,0,37.40721611
China,CHN,1980,0,0,161.7254878
Norway,NOR,1980,0,0,232.2583333
United Kingdom,GBR,1980,0,0,10.98333333
United States,USA,1980,0,0,783.3391975
World,OWID_WRL,1980,0,0.029166667,4810.145697
Australia,AUS,1970,0,0,28.25190833
China,CHN,1970,0,0,66.76976833
Norway,NOR,1970,0,0,160.5777778
United Kingdom,GBR,1970,0,0,12.6
United States,USA,1970,0,0,704.1454603
World,OWID_WRL,1970,0,0,3262.909933
